Ponto,Água,,Combustíveis,,,,,,,Ar,,,,,,,,,Fornalha,Gases de combustão,Vapor,,,Digestor
,,,Licor negro,,Óleo (BTE),Metanol,,CNCG,,Ar primário,,Ar secundário,,Ar secundário alto,,Ar terciário,,O2,,,,,,
Descrição,Vazão de água de alimentação,Temperatura da água na entrada do balão,Carga de licor na caldeira,Temperatura do licor que entra na fornalha,Fluxo de queima de óleo total,Fluxo total de MeOH para os queimadores,Temperatura de entrada do MeOH nos queimadores,Fluxo de CNCG total para ar secundário alto,Temperatura média do CNCG para ar secundário alto,Vazão de ar pirmário,Temperatura do ar primário,Vazão de ar secundário,Temperatura do ar secundário,Vazão do ar secundário alto,Temperatura do ar secundário alto,Vazão do ar terciário,Temperatura do ar terciário,Oxigênio residual,Temperatura média no piso da fornalha,Temperatura do gás de combustão na saída do ECO 1,Fluxo de vapor gerado ,Temperatura do vapor após superaquecedores,Pressão do vapor que vai para a turbina ,Kappa
Unidade,m³/h,°C,tss/d,°C,t/h,Kg/h,°C,Kg/h,°C,Nm³/min,°C,Nm³/min,°C,Nm³/min,°C,Nm³/min,°C,%,°C,°C,t/h,°C,Kgf/cm²,
TAG,771F0083.PV,771T0097.PV,771F5394.M3.PV,771T0667.PV,771F0758.PV + 771F1094.PV,778F0093.PV + 771F0826.PV,774T0285.PV,778F0017.PV+778F0026.PV,778T0041.PV,771F0469.PV,771T0475.PV,771F0487.PV,771T0486.PV,771F5268.PV,771T0499.PV,771F0519.PV,771T0518.PV,771A0616.PV,Média (771T0129.PV. 771T0133.PV. 771T0137.PV. 771T0139PV),771T0610.PV,771F5033.PV,771T0306.PV,771P0304.PV,
1,0.71,0.53,0.88,0.94,0,0.76,0.44,0.55,0.93,0.75,0.9,0.69,0.91,0.62,0.49,0.64,0.7,0.08,0.56,0.84,0.68,0.32,0.96,0.27
2,0.71,0.49,0.88,0.94,0,0.76,0.44,0.54,0.93,0.75,0.89,0.69,0.91,0.62,0.49,0.64,0.7,0.08,0.56,0.83,0.68,0.31,0.95,0.24
3,0.65,0.55,0.88,0.94,0,0.76,0.48,0.53,0.94,0.75,0.89,0.68,0.92,0.63,0.51,0.66,0.71,0.08,0.61,0.84,0.7,0.31,0.96,0.21
4,0.67,0.48,0.86,0.95,0,0.77,0.48,0.51,0.94,0.74,0.9,0.66,0.93,0.55,0.52,0.63,0.73,0.08,0.6,0.84,0.67,0.31,0.95,0.22
5,0.68,0.47,0.85,0.95,0,0.77,0.48,0.53,0.94,0.74,0.91,0.66,0.94,0.55,0.53,0.65,0.72,0.08,0.59,0.84,0.67,0.31,0.95,0.22
6,0.68,0.48,0.86,0.94,0,0.76,0.47,0.53,0.95,0.74,0.9,0.66,0.94,0.56,0.52,0.64,0.72,0.08,0.59,0.83,0.67,0.31,0.95,0.21
7,0.68,0.43,0.86,0.93,0,0.76,0.46,0.54,0.94,0.74,0.9,0.66,0.94,0.56,0.52,0.62,0.72,0.09,0.59,0.84,0.67,0.3,0.95,0.21
8,0.67,0.48,0.86,0.93,0,0.7,0.46,0.53,0.94,0.75,0.89,0.65,0.93,0.56,0.52,0.62,0.73,0.09,0.58,0.83,0.66,0.32,0.95,0.23
9,0.65,0.46,0.86,0.93,0,0.67,0.49,0.52,0.94,0.75,0.9,0.64,0.93,0.55,0.52,0.58,0.75,0.08,0.56,0.83,0.65,0.32,0.95,0.25
10,0.64,0.52,0.85,0.93,0,0.67,0.5,0.53,0.94,0.75,0.9,0.64,0.94,0.56,0.52,0.56,0.77,0.07,0.47,0.83,0.65,0.31,0.95,0.37
11,0.6,0.36,0.59,0.92,0.59,0.17,0.5,0.53,0.92,0.73,0.89,0.81,0.87,0.41,0.54,0.36,0.83,0.21,0.47,0.83,0.6,0.31,0.95,0.12
12,0.59,0.36,0.59,0.92,0.55,0.43,0.5,0.53,0.93,0.73,0.91,0.81,0.89,0.4,0.55,0.36,0.85,0.2,0.34,0.83,0.59,0.32,0.94,0.17
13,0.59,0.36,0.59,0.93,0.52,0.66,0.51,0.53,0.94,0.73,0.92,0.81,0.9,0.42,0.56,0.36,0.86,0.19,0.3,0.82,0.6,0.31,0.95,0.24
14,0.68,0.43,0.78,0.91,0.1,0.54,0.48,0.56,0.93,0.73,0.91,0.65,0.93,0.53,0.51,0.53,0.77,0.08,0.59,0.83,0.68,0.31,0.96,0.26
15,0.68,0.42,0.78,0.91,0.09,0.58,0.48,0.54,0.93,0.73,0.91,0.66,0.93,0.54,0.52,0.55,0.77,0.08,0.58,0.84,0.68,0.31,0.96,0.28
16,0.67,0.44,0.78,0.92,0.1,0.58,0.48,0.55,0.93,0.73,0.91,0.66,0.93,0.54,0.52,0.51,0.78,0.08,0.53,0.83,0.67,0.31,0.95,0.29
17,0.71,0.41,0.78,0.92,0.09,0.58,0.45,0.53,0.93,0.73,0.91,0.65,0.94,0.53,0.51,0.47,0.8,0.08,0.56,0.82,0.65,0.31,0.95,0.31
18,0.46,0.61,0.27,0.9,0.84,0.26,0.44,0.66,0.9,0.74,0.88,0.87,0.86,0.37,0.54,0.37,0.83,0.47,0.35,0.85,0.36,0.32,0.92,0.28
19,0.46,0.76,0.24,0.91,0.84,0.19,0.42,0.97,0.9,0.74,0.89,0.89,0.86,0.38,0.39,0.36,0.85,0.48,0.34,0.85,0.28,0.31,0.91,0.28
20,0.69,0.52,0.86,0.91,0,0.7,0.45,0.52,0.95,0.76,0.89,0.7,0.93,0.65,0.5,0.59,0.75,0.1,0.64,0.88,0.7,0.31,0.96,0.24
21,0.57,0.3,0.43,0.91,0.73,0.78,0.49,0.56,0.75,0.66,0.49,0.74,0.48,0.46,0.29,0.17,0.46,0.25,0.46,0.72,0.51,0.32,0.95,0.44
22,0.54,0.34,0.37,0.92,0.78,0.47,0.51,0.6,0.75,0.66,0.5,0.77,0.49,0.39,0.32,0.17,0.45,0.23,0.37,0.73,0.44,0.31,0.95,0.51
23,0.66,0.27,0.59,0.9,0.55,0.4,0.5,0.56,0.94,0.69,0.88,0.8,0.84,0.58,0.51,0.4,0.81,0.11,0.63,0.74,0.65,0.25,0.96,0.17
24,0.65,0.56,0.66,0.89,0.37,0.43,0.49,0.56,0.94,0.7,0.9,0.85,0.87,0.66,0.52,0.51,0.78,0.19,0.54,0.83,0.63,0.25,0.95,0.24
25,0.61,0.73,0.71,0.89,0.11,0.65,0.5,0.52,0.96,0.68,0.92,0.69,0.92,0.64,0.53,0.51,0.79,0.21,0.4,0.85,0.52,0.27,0.94,0.29
26,0.58,0.58,0.74,0.9,0,0.22,0.51,0.53,0.96,0.69,0.93,0.61,0.96,0.5,0.55,0.5,0.81,0.18,0.32,0.83,0.48,0.24,0.93,0.47
27,0.56,0.57,0.74,0.9,0,0.67,0.49,0.55,0.95,0.69,0.92,0.65,0.93,0.5,0.54,0.46,0.81,0.17,0.44,0.82,0.5,0.25,0.93,0.3
28,0.72,0.58,0.87,0.91,0,0.65,0.52,0.54,0.96,0.75,0.93,0.65,0.96,0.6,0.53,0.72,0.72,0.07,0.51,0.88,0.72,0.25,0.96,0.23
29,0.73,0.58,0.9,0.91,0,0.74,0.53,0.52,0.96,0.76,0.92,0.62,0.98,0.67,0.51,0.78,0.7,0.07,0.47,0.89,0.74,0.25,0.97,0.2
30,0.73,0.61,0.85,0.92,0,0.78,0.5,0.51,0.96,0.74,0.91,0.6,0.96,0.57,0.53,0.66,0.73,0.07,0.54,0.88,0.69,0.25,0.96,0.22
31,0.75,0.56,0.9,0.91,0,0.68,0.48,0.5,0.96,0.77,0.91,0.61,0.96,0.67,0.5,0.73,0.7,0.07,0.69,0.89,0.74,0.25,0.97,0.24
32,0.77,0.66,0.9,0.9,0,0.67,0.46,0.5,0.96,0.77,0.91,0.61,0.96,0.68,0.51,0.73,0.71,0.06,0.68,0.9,0.75,0.24,0.96,0.23
33,0.77,0.63,0.9,0.88,0,0.75,0.46,0.85,0.95,0.77,0.9,0.61,0.96,0.67,0.43,0.71,0.72,0.05,0.67,0.89,0.75,0.25,0.97,0.23
34,0.77,0.57,0.9,0.91,0,0.75,0.47,0.89,0.95,0.77,0.9,0.61,0.95,0.67,0.44,0.68,0.71,0.05,0.65,0.88,0.75,0.25,0.97,0.19
35,0.76,0.56,0.9,0.91,0,0.75,0.48,0.55,0.95,0.77,0.9,0.61,0.94,0.67,0.51,0.68,0.7,0.05,0.66,0.88,0.75,0.24,0.97,0.21
36,0.75,0.67,0.9,0.9,0,0.8,0.48,0.54,0.85,0.77,0.48,0.61,0.49,0.67,0.3,0.68,0.3,0.05,0.66,0.91,0.72,0.24,0.97,0.23
37,0.66,0.52,0.82,0.91,0.01,0.65,0.46,0.55,0.96,0.74,0.89,0.58,0.95,0.49,0.56,0.53,0.79,0.05,0.58,0.87,0.63,0.25,0.95,0.24
38,0.71,0.67,0.88,0.91,0,0.71,0.46,0.55,0.96,0.77,0.89,0.85,0.88,0.64,0.54,0.64,0.74,0.09,0.65,0.91,0.73,0.25,0.97,0.23
39,0.71,0.61,0.83,0.9,0,0.79,0.48,0.52,0.96,0.75,0.9,0.58,0.96,0.52,0.56,0.64,0.74,0.08,0.64,0.89,0.67,0.25,0.96,0.23
40,0.7,0.55,0.84,0.89,0,0.6,0.5,0.53,0.96,0.74,0.91,0.56,0.97,0.53,0.56,0.7,0.72,0.08,0.53,0.89,0.67,0.25,0.96,0.24
41,0.72,0.54,0.84,0.91,0,0.81,0.46,0.54,0.96,0.71,0.91,0.65,0.94,0.52,0.56,0.71,0.71,0.09,0.59,0.89,0.7,0.24,0.96,0.23
42,0.71,0.55,0.84,0.92,0,0.83,0.45,0.54,0.96,0.71,0.91,0.65,0.93,0.52,0.56,0.7,0.71,0.09,0.61,0.89,0.69,0.25,0.96,0.26
43,0.7,0.51,0.84,0.92,0,0.77,0.48,0.54,0.96,0.7,0.91,0.64,0.94,0.52,0.56,0.69,0.71,0.09,0.63,0.88,0.67,0.24,0.96,0.27
44,0.73,0.53,0.84,0.91,0,0.77,0.48,0.54,0.95,0.7,0.9,0.64,0.92,0.52,0.55,0.69,0.72,0.09,0.55,0.89,0.68,0.24,0.96,0.26
45,0.72,0.48,0.84,0.91,0,0.74,0.44,0.54,0.96,0.7,0.91,0.64,0.94,0.52,0.56,0.65,0.73,0.08,0.6,0.89,0.68,0.24,0.96,0.23
46,0.68,0.48,0.84,0.91,0,0.81,0.47,0.53,0.96,0.7,0.92,0.65,0.93,0.52,0.57,0.65,0.74,0.08,0.61,0.89,0.67,0.25,0.96,0.23
47,0.69,0.47,0.84,0.91,0,0.7,0.48,0.53,0.96,0.7,0.92,0.64,0.95,0.52,0.56,0.64,0.76,0.08,0.61,0.88,0.66,0.25,0.95,0.26
48,0.71,0.46,0.84,0.92,0,0.52,0.49,0.54,0.96,0.7,0.92,0.62,0.96,0.53,0.56,0.63,0.76,0.08,0.61,0.88,0.65,0.24,0.95,0.25
49,0.74,0.54,0.96,0.92,0,0.76,0.48,0.53,0.95,0.75,0.91,0.69,0.94,0.8,0.5,0.79,0.69,0.07,0.67,0.93,0.81,0.25,0.98,0.27
50,0.76,0.55,0.96,0.92,0,0.59,0.48,0.53,0.96,0.75,0.91,0.68,0.93,0.79,0.51,0.8,0.69,0.07,0.72,0.93,0.8,0.25,0.97,0.24
51,0.77,0.51,0.91,0.93,0,0.78,0.51,0.52,0.96,0.74,0.91,0.67,0.94,0.69,0.53,0.74,0.7,0.08,0.69,0.92,0.75,0.25,0.97,0.2
52,0.76,0.52,0.91,0.92,0,0.73,0.49,0.53,0.96,0.74,0.91,0.67,0.94,0.69,0.52,0.79,0.69,0.08,0.65,0.92,0.77,0.25,0.97,0.22
53,0.75,0.48,0.9,0.92,0,0.69,0.47,0.53,0.95,0.73,0.9,0.66,0.93,0.66,0.53,0.77,0.69,0.08,0.65,0.92,0.75,0.24,0.97,0.25
54,0.75,0.49,0.9,0.93,0,0.75,0.45,0.55,0.95,0.74,0.9,0.67,0.93,0.65,0.53,0.77,0.7,0.07,0.66,0.92,0.76,0.25,0.97,0.25
55,0.74,0.52,0.9,0.91,0,0.75,0.45,0.54,0.95,0.75,0.9,0.66,0.94,0.65,0.52,0.76,0.69,0.08,0.65,0.92,0.76,0.25,0.97,0.23
56,0.74,0.52,0.9,0.9,0,0.71,0.46,0.54,0.95,0.75,0.9,0.66,0.94,0.66,0.52,0.76,0.69,0.08,0.66,0.92,0.74,0.24,0.97,0.21
57,0.76,0.53,0.9,0.9,0,0.75,0.47,0.54,0.95,0.74,0.9,0.67,0.94,0.66,0.53,0.76,0.7,0.08,0.67,0.92,0.74,0.24,0.97,0.22
58,0.76,0.46,0.9,0.91,0,0.77,0.45,0.53,0.95,0.75,0.9,0.67,0.93,0.66,0.53,0.73,0.7,0.07,0.61,0.9,0.74,0.25,0.97,0.24
59,0.75,0.45,0.9,0.93,0,0.85,0.45,0.53,0.95,0.73,0.89,0.68,0.92,0.66,0.52,0.71,0.7,0.07,0.68,0.89,0.74,0.24,0.97,0.24
60,0.72,0.43,0.9,0.92,0,0.85,0.47,0.53,0.95,0.73,0.89,0.68,0.92,0.65,0.52,0.71,0.7,0.07,0.67,0.89,0.72,0.24,0.96,0.24
61,0.71,0.46,0.9,0.92,0,0.85,0.48,0.52,0.95,0.73,0.89,0.67,0.92,0.66,0.52,0.72,0.7,0.07,0.67,0.88,0.75,0.25,0.97,0.23
62,0.72,0.47,0.9,0.92,0,0.74,0.49,0.53,0.95,0.73,0.9,0.67,0.92,0.66,0.53,0.74,0.69,0.07,0.67,0.89,0.74,0.25,0.97,0.25
63,0.72,0.47,0.9,0.92,0,0.79,0.48,0.54,0.94,0.74,0.88,0.67,0.91,0.66,0.51,0.74,0.68,0.07,0.65,0.9,0.73,0.25,0.97,0.25
64,0.74,0.43,0.9,0.9,0,0.78,0.49,0.53,0.95,0.73,0.89,0.67,0.91,0.66,0.52,0.79,0.67,0.08,0.67,0.87,0.75,0.24,0.97,0.24
65,0.76,0.44,0.9,0.91,0,0.78,0.5,0.54,0.95,0.73,0.9,0.67,0.93,0.65,0.52,0.79,0.67,0.07,0.63,0.88,0.76,0.25,0.97,0.28
66,0.73,0.42,0.9,0.92,0,0.78,0.49,0.53,0.95,0.73,0.89,0.67,0.92,0.66,0.52,0.76,0.68,0.07,0.66,0.87,0.75,0.25,0.97,0.23
67,0.7,0.4,0.9,0.93,0,0.78,0.48,0.53,0.95,0.73,0.89,0.67,0.92,0.65,0.52,0.74,0.69,0.07,0.66,0.88,0.74,0.24,0.97,0.24
68,0.75,0.41,0.9,0.92,0,0.78,0.5,0.53,0.95,0.73,0.89,0.67,0.92,0.66,0.52,0.72,0.69,0.07,0.65,0.87,0.73,0.24,0.97,0.23
69,0.77,0.42,0.91,0.91,0,0.78,0.51,0.53,0.95,0.74,0.9,0.67,0.92,0.69,0.51,0.73,0.69,0.07,0.57,0.87,0.75,0.25,0.97,0.22
70,0.73,0.43,0.91,0.9,0,0.69,0.5,0.53,0.95,0.74,0.89,0.67,0.92,0.69,0.51,0.75,0.68,0.07,0.62,0.88,0.75,0.25,0.97,0.21
71,0.76,0.44,0.91,0.9,0,0.7,0.48,0.53,0.95,0.74,0.89,0.67,0.91,0.69,0.51,0.76,0.67,0.07,0.68,0.88,0.76,0.24,0.97,0.23
72,0.62,0.41,0.74,0.91,0.12,0.63,0.48,0.55,0.95,0.67,0.89,0.84,0.86,0.44,0.56,0.43,0.83,0.09,0.53,0.77,0.61,0.25,0.95,0.16
73,0.67,0.49,0.74,0.92,0.21,0.64,0.49,0.53,0.95,0.67,0.9,0.8,0.88,0.44,0.56,0.45,0.82,0.08,0.59,0.78,0.67,0.25,0.95,0.25
74,0.67,0.47,0.75,0.92,0.13,0.66,0.49,0.51,0.95,0.67,0.9,0.64,0.92,0.46,0.57,0.48,0.8,0.08,0.62,0.79,0.64,0.25,0.95,0.26
75,0.67,0.56,0.81,0.91,0,0.58,0.52,0.52,0.95,0.7,0.9,0.61,0.94,0.61,0.53,0.6,0.75,0.07,0.55,0.81,0.66,0.25,0.95,0.26
76,0.7,0.54,0.81,0.9,0,0.8,0.59,0.53,0.96,0.7,0.9,0.56,0.95,0.53,0.56,0.63,0.74,0.07,0.6,0.82,0.63,0.25,0.95,0.29
77,0.69,0.54,0.81,0.91,0,0.83,0.55,0.53,0.95,0.7,0.89,0.64,0.93,0.53,0.55,0.62,0.73,0.07,0.59,0.82,0.64,0.23,0.95,0.29
78,0.68,0.58,0.81,0.92,0,0.87,0.52,0.52,0.96,0.7,0.9,0.64,0.92,0.53,0.55,0.63,0.73,0.08,0.6,0.83,0.66,0.25,0.96,0.28
79,0.69,0.53,0.81,0.92,0,0.84,0.51,0.51,0.95,0.71,0.9,0.67,0.93,0.54,0.55,0.6,0.75,0.08,0.57,0.83,0.66,0.25,0.95,0.24
80,0.67,0.55,0.81,0.92,0,0.28,0.53,0.52,0.96,0.71,0.9,0.61,0.94,0.54,0.55,0.58,0.76,0.08,0.46,0.83,0.63,0.25,0.95,0.22
81,0.66,0.56,0.81,0.91,0,0.73,0.5,0.51,0.95,0.71,0.89,0.66,0.92,0.54,0.54,0.57,0.77,0.07,0.43,0.83,0.63,0.25,0.95,0.23
82,0.67,0.54,0.82,0.91,0,0.69,0.47,0.51,0.95,0.71,0.89,0.65,0.91,0.54,0.53,0.55,0.77,0.08,0.57,0.82,0.63,0.25,0.95,0.23
83,0.62,0.5,0.82,0.93,0,0.69,0.48,0.5,0.95,0.71,0.89,0.65,0.91,0.54,0.53,0.54,0.77,0.08,0.55,0.82,0.62,0.25,0.95,0.23
84,0.58,0.43,0.75,0.93,0,0.61,0.5,0.53,0.95,0.68,0.9,0.61,0.92,0.38,0.56,0.42,0.83,0.08,0.44,0.8,0.54,0.25,0.94,0.19
85,0.62,0.42,0.76,0.93,0,0.61,0.5,0.52,0.95,0.69,0.89,0.62,0.92,0.41,0.55,0.44,0.82,0.08,0.51,0.8,0.56,0.25,0.94,0.2
86,0.65,0.48,0.79,0.92,0,0.61,0.48,0.51,0.95,0.7,0.88,0.63,0.92,0.46,0.55,0.51,0.79,0.08,0.55,0.81,0.61,0.25,0.95,0.22
87,0.67,0.46,0.79,0.92,0,0.7,0.49,0.51,0.95,0.7,0.89,0.64,0.93,0.43,0.55,0.53,0.78,0.08,0.56,0.83,0.6,0.25,0.95,0.24
88,0.66,0.5,0.82,0.93,0,0.73,0.51,0.51,0.95,0.71,0.9,0.66,0.92,0.5,0.55,0.59,0.76,0.08,0.58,0.84,0.64,0.25,0.95,0.23
89,0.66,0.43,0.82,0.93,0,0.72,0.48,0.8,0.95,0.71,0.91,0.63,0.93,0.51,0.47,0.6,0.75,0.08,0.61,0.84,0.64,0.24,0.95,0.26
90,0.66,0.52,0.84,0.93,0,0.8,0.42,0.52,0.95,0.72,0.91,0.65,0.93,0.58,0.53,0.67,0.72,0.08,0.62,0.85,0.7,0.25,0.96,0.27
91,0.66,0.5,0.84,0.93,0,0.83,0.51,0.87,0.95,0.72,0.91,0.65,0.94,0.58,0.44,0.66,0.73,0.08,0.58,0.86,0.68,0.25,0.96,0.26
92,0.64,0.42,0.9,0.93,0,0.79,0.53,0.83,0.95,0.75,0.9,0.67,0.94,0.66,0.46,0.77,0.7,0.06,0.47,0.85,0.76,0.25,0.97,0.25
93,0.55,0.43,0.62,0.93,0.31,0.26,0.47,0.52,0.95,0.63,0.9,0.7,0.88,0.32,0.58,0.3,0.88,0.19,0.57,0.83,0.57,0.25,0.94,0.1
94,0.61,0.45,0.67,0.92,0.21,0.69,0.47,0.51,0.96,0.66,0.9,0.55,0.93,0.34,0.58,0.34,0.87,0.12,0.58,0.83,0.58,0.25,0.94,0.16
95,0.71,0.5,0.86,0.93,0,0.7,0.49,0.52,0.95,0.72,0.87,0.65,0.9,0.57,0.53,0.76,0.66,0.07,0.63,0.87,0.73,0.25,0.96,0.2
96,0.72,0.5,0.86,0.93,0,0.63,0.49,0.52,0.95,0.72,0.85,0.64,0.88,0.58,0.52,0.76,0.65,0.07,0.65,0.85,0.72,0.25,0.96,0.19
97,0.75,0.46,0.93,0.93,0,0.82,0.49,0.53,0.94,0.75,0.84,0.69,0.87,0.72,0.48,0.85,0.62,0.07,0.69,0.83,0.77,0.24,0.97,0.2
98,0.75,0.54,0.96,0.92,0,0.84,0.47,0.54,0.95,0.77,0.87,0.64,0.92,0.73,0.48,0.89,0.62,0.06,0.71,0.87,0.8,0.24,0.97,0.24
99,0.79,0.51,0.96,0.93,0,0.84,0.48,0.53,0.95,0.77,0.88,0.63,0.93,0.76,0.47,0.88,0.63,0.06,0.73,0.9,0.83,0.24,0.98,0.21
100,0.8,0.48,0.96,0.93,0,0.78,0.49,0.54,0.95,0.77,0.88,0.65,0.93,0.75,0.48,0.86,0.65,0.06,0.74,0.89,0.81,0.24,0.98,0.18
101,0.8,0.48,0.96,0.91,0,0.79,0.5,0.52,0.94,0.78,0.86,0.7,0.88,0.77,0.47,0.89,0.61,0.07,0.72,0.85,0.79,0.24,0.97,0.2
