Ponto,Água,,Combustíveis,,,,,,,Ar,,,,,,,,,Fornalha,Gases de combustão,Vapor,,,Digestor
,,,Licor negro,,Óleo (BTE),Metanol,,CNCG,,Ar primário,,Ar secundário,,Ar secundário alto,,Ar terciário,,O2,,,,,,
Descrição,Vazão de água de alimentação,Temperatura da água na entrada do balão,Carga de licor na caldeira,Temperatura do licor que entra na fornalha,Fluxo de queima de óleo total,Fluxo total de MeOH para os queimadores,Temperatura de entrada do MeOH nos queimadores,Fluxo de CNCG total para ar secundário alto,Temperatura média do CNCG para ar secundário alto,Vazão de ar pirmário,Temperatura do ar primário,Vazão de ar secundário,Temperatura do ar secundário,Vazão do ar secundário alto,Temperatura do ar secundário alto,Vazão do ar terciário,Temperatura do ar terciário,Oxigênio residual,Temperatura média no piso da fornalha,Temperatura do gás de combustão na saída do ECO 1,Fluxo de vapor gerado ,Temperatura do vapor após superaquecedores,Pressão do vapor que vai para a turbina ,Kappa
Unidade,m³/h,°C,tss/d,°C,t/h,Kg/h,°C,Kg/h,°C,Nm³/min,°C,Nm³/min,°C,Nm³/min,°C,Nm³/min,°C,%,°C,°C,t/h,°C,Kgf/cm²,
TAG,771F0083.PV,771T0097.PV,771F5394.M3.PV,771T0667.PV,771F0758.PV + 771F1094.PV,778F0093.PV + 771F0826.PV,774T0285.PV,778F0017.PV+778F0026.PV,778T0041.PV,771F0469.PV,771T0475.PV,771F0487.PV,771T0486.PV,771F5268.PV,771T0499.PV,771F0519.PV,771T0518.PV,771A0616.PV,Média (771T0129.PV. 771T0133.PV. 771T0137.PV. 771T0139PV),771T0610.PV,771F5033.PV,771T0306.PV,771P0304.PV,
1,0.71,0.51,0.88,0.94,0.00,0.76,0.44,0.54,0.93,0.75,0.89,0.69,0.91,0.62,0.49,0.64,0.70,0.08,0.56,0.83,0.68,0.31,0.95,0.25
2,0.65,0.54,0.88,0.94,0.00,0.76,0.48,0.52,0.94,0.75,0.89,0.68,0.92,0.62,0.51,0.66,0.71,0.08,0.61,0.84,0.70,0.31,0.96,0.21
3,0.68,0.47,0.85,0.95,0.00,0.77,0.48,0.53,0.94,0.74,0.91,0.66,0.94,0.55,0.53,0.65,0.72,0.08,0.59,0.84,0.67,0.31,0.95,0.22
4,0.68,0.45,0.86,0.94,0.00,0.76,0.47,0.53,0.94,0.74,0.90,0.66,0.94,0.56,0.52,0.63,0.72,0.09,0.59,0.84,0.67,0.31,0.95,0.21
5,0.64,0.51,0.86,0.93,0.00,0.67,0.50,0.52,0.94,0.75,0.90,0.64,0.94,0.56,0.52,0.57,0.77,0.07,0.49,0.83,0.65,0.31,0.95,0.36
6,0.68,0.43,0.78,0.91,0.10,0.54,0.48,0.56,0.93,0.73,0.91,0.65,0.93,0.53,0.51,0.53,0.77,0.08,0.59,0.83,0.68,0.31,0.96,0.26
7,0.67,0.44,0.78,0.92,0.10,0.58,0.48,0.55,0.93,0.73,0.91,0.66,0.93,0.54,0.52,0.51,0.78,0.08,0.54,0.83,0.67,0.31,0.95,0.29
8,0.69,0.52,0.86,0.91,0.00,0.64,0.44,0.52,0.95,0.76,0.89,0.69,0.93,0.65,0.50,0.60,0.75,0.10,0.64,0.88,0.70,0.32,0.96,0.24
9,0.54,0.34,0.37,0.92,0.78,0.48,0.51,0.60,0.75,0.66,0.50,0.77,0.49,0.38,0.32,0.17,0.45,0.22,0.36,0.73,0.44,0.29,0.95,0.42
10,0.56,0.57,0.74,0.90,0.00,0.65,0.49,0.54,0.95,0.69,0.92,0.65,0.94,0.50,0.54,0.47,0.81,0.17,0.40,0.83,0.50,0.25,0.93,0.38
11,0.72,0.58,0.87,0.91,0.00,0.65,0.52,0.54,0.96,0.75,0.93,0.65,0.96,0.60,0.53,0.72,0.72,0.07,0.51,0.88,0.72,0.25,0.96,0.23
12,0.73,0.58,0.90,0.91,0.00,0.74,0.53,0.52,0.96,0.76,0.92,0.62,0.98,0.67,0.51,0.78,0.70,0.07,0.47,0.89,0.74,0.25,0.97,0.20
13,0.73,0.61,0.85,0.92,0.00,0.78,0.50,0.51,0.96,0.74,0.91,0.60,0.96,0.57,0.53,0.66,0.73,0.07,0.54,0.88,0.69,0.25,0.96,0.22
14,0.77,0.63,0.90,0.91,0.00,0.67,0.46,0.50,0.96,0.77,0.91,0.61,0.96,0.67,0.51,0.72,0.71,0.07,0.69,0.90,0.75,0.24,0.96,0.23
15,0.77,0.63,0.90,0.88,0.00,0.75,0.46,0.85,0.95,0.77,0.90,0.61,0.96,0.67,0.43,0.71,0.72,0.05,0.67,0.89,0.75,0.25,0.97,0.23
16,0.77,0.58,0.90,0.91,0.00,0.75,0.47,0.89,0.95,0.77,0.90,0.61,0.95,0.67,0.44,0.68,0.71,0.05,0.65,0.88,0.75,0.25,0.97,0.19
17,0.76,0.59,0.90,0.91,0.00,0.77,0.48,0.55,0.96,0.77,0.85,0.61,0.89,0.67,0.49,0.68,0.67,0.05,0.66,0.89,0.75,0.24,0.97,0.21
18,0.66,0.52,0.82,0.91,0.01,0.65,0.46,0.55,0.96,0.74,0.89,0.58,0.95,0.49,0.56,0.53,0.79,0.05,0.58,0.87,0.63,0.25,0.95,0.24
19,0.71,0.65,0.88,0.91,0.00,0.73,0.46,0.54,0.96,0.77,0.89,0.80,0.89,0.64,0.54,0.65,0.74,0.09,0.65,0.91,0.74,0.24,0.97,0.23
20,0.71,0.57,0.84,0.90,0.00,0.68,0.49,0.53,0.96,0.75,0.90,0.57,0.96,0.52,0.56,0.65,0.74,0.08,0.59,0.89,0.67,0.25,0.96,0.24
21,0.71,0.53,0.84,0.91,0.00,0.81,0.46,0.54,0.96,0.71,0.91,0.65,0.93,0.52,0.56,0.71,0.71,0.09,0.59,0.89,0.69,0.24,0.96,0.24
22,0.73,0.53,0.84,0.91,0.00,0.77,0.48,0.54,0.95,0.70,0.90,0.64,0.92,0.52,0.55,0.69,0.72,0.09,0.55,0.89,0.68,0.24,0.96,0.26
23,0.72,0.48,0.84,0.91,0.00,0.74,0.44,0.54,0.96,0.70,0.91,0.64,0.94,0.52,0.56,0.65,0.73,0.08,0.60,0.89,0.68,0.24,0.96,0.23
24,0.68,0.48,0.84,0.91,0.00,0.79,0.47,0.53,0.96,0.70,0.92,0.64,0.93,0.52,0.56,0.65,0.74,0.08,0.61,0.88,0.67,0.25,0.96,0.24
25,0.75,0.54,0.96,0.92,0.00,0.63,0.48,0.53,0.96,0.75,0.91,0.68,0.94,0.79,0.51,0.79,0.69,0.07,0.71,0.93,0.81,0.25,0.98,0.25
26,0.77,0.51,0.91,0.93,0.00,0.78,0.51,0.52,0.96,0.74,0.91,0.67,0.94,0.69,0.53,0.74,0.70,0.08,0.69,0.92,0.75,0.25,0.97,0.20
27,0.76,0.52,0.91,0.92,0.00,0.73,0.49,0.53,0.96,0.74,0.91,0.67,0.94,0.69,0.52,0.79,0.69,0.08,0.65,0.92,0.77,0.25,0.97,0.22
28,0.75,0.49,0.90,0.93,0.00,0.75,0.45,0.55,0.95,0.74,0.90,0.67,0.93,0.65,0.53,0.77,0.70,0.08,0.66,0.92,0.76,0.24,0.97,0.25
29,0.74,0.52,0.90,0.91,0.00,0.75,0.45,0.54,0.95,0.75,0.90,0.66,0.94,0.65,0.52,0.76,0.69,0.08,0.65,0.92,0.76,0.25,0.97,0.23
30,0.76,0.53,0.90,0.90,0.00,0.74,0.47,0.54,0.95,0.75,0.90,0.66,0.94,0.66,0.53,0.76,0.70,0.08,0.67,0.92,0.74,0.24,0.97,0.22
31,0.76,0.45,0.90,0.91,0.00,0.79,0.45,0.53,0.95,0.74,0.90,0.67,0.93,0.66,0.52,0.73,0.70,0.07,0.63,0.90,0.74,0.25,0.97,0.24
32,0.72,0.46,0.90,0.92,0.00,0.79,0.48,0.53,0.95,0.73,0.89,0.67,0.92,0.66,0.52,0.73,0.69,0.07,0.66,0.89,0.74,0.25,0.97,0.25
33,0.74,0.43,0.90,0.90,0.00,0.78,0.49,0.53,0.95,0.73,0.89,0.67,0.91,0.66,0.52,0.79,0.67,0.08,0.67,0.87,0.75,0.24,0.97,0.24
34,0.76,0.44,0.90,0.91,0.00,0.78,0.50,0.54,0.95,0.73,0.90,0.67,0.93,0.65,0.52,0.79,0.67,0.07,0.63,0.88,0.76,0.25,0.97,0.28
35,0.73,0.42,0.90,0.92,0.00,0.78,0.49,0.53,0.95,0.73,0.89,0.67,0.92,0.66,0.52,0.76,0.68,0.07,0.66,0.87,0.75,0.25,0.97,0.23
36,0.71,0.40,0.90,0.92,0.00,0.78,0.48,0.53,0.95,0.73,0.89,0.67,0.92,0.65,0.52,0.74,0.69,0.07,0.66,0.88,0.74,0.24,0.97,0.24
37,0.73,0.43,0.91,0.91,0.00,0.69,0.50,0.53,0.95,0.74,0.89,0.67,0.92,0.69,0.51,0.75,0.68,0.07,0.62,0.88,0.75,0.25,0.97,0.21
38,0.62,0.41,0.74,0.91,0.12,0.63,0.48,0.55,0.95,0.67,0.89,0.84,0.86,0.44,0.56,0.43,0.83,0.09,0.53,0.77,0.61,0.25,0.95,0.16
39,0.67,0.49,0.74,0.92,0.21,0.64,0.49,0.53,0.95,0.67,0.90,0.80,0.88,0.44,0.56,0.45,0.82,0.08,0.59,0.78,0.67,0.25,0.95,0.25
40,0.67,0.56,0.81,0.91,0.00,0.54,0.52,0.53,0.95,0.70,0.90,0.61,0.94,0.61,0.53,0.60,0.75,0.07,0.55,0.81,0.66,0.25,0.95,0.26
41,0.68,0.57,0.81,0.92,0.00,0.85,0.53,0.52,0.96,0.70,0.89,0.64,0.93,0.53,0.55,0.63,0.73,0.07,0.59,0.82,0.66,0.25,0.95,0.29
42,0.69,0.53,0.81,0.92,0.00,0.84,0.51,0.51,0.95,0.71,0.90,0.67,0.93,0.54,0.55,0.60,0.75,0.08,0.57,0.83,0.66,0.25,0.95,0.24
43,0.67,0.54,0.81,0.91,0.00,0.69,0.48,0.51,0.95,0.71,0.89,0.65,0.91,0.54,0.53,0.55,0.77,0.08,0.56,0.82,0.63,0.25,0.95,0.23
44,0.62,0.42,0.76,0.93,0.00,0.61,0.50,0.52,0.95,0.69,0.89,0.62,0.92,0.41,0.55,0.44,0.82,0.08,0.51,0.80,0.56,0.25,0.94,0.20
45,0.65,0.48,0.79,0.92,0.00,0.61,0.48,0.51,0.95,0.70,0.88,0.63,0.92,0.46,0.55,0.51,0.79,0.08,0.55,0.81,0.61,0.25,0.95,0.22
46,0.67,0.46,0.79,0.92,0.00,0.70,0.49,0.51,0.95,0.70,0.89,0.64,0.93,0.43,0.55,0.53,0.78,0.08,0.56,0.83,0.60,0.25,0.95,0.24
47,0.66,0.50,0.82,0.93,0.00,0.73,0.51,0.51,0.95,0.71,0.90,0.66,0.92,0.50,0.55,0.59,0.76,0.08,0.58,0.84,0.64,0.25,0.95,0.23
48,0.66,0.50,0.84,0.93,0.00,0.83,0.51,0.87,0.95,0.72,0.91,0.65,0.94,0.58,0.44,0.66,0.73,0.08,0.58,0.86,0.68,0.25,0.96,0.26
49,0.71,0.50,0.86,0.93,0.00,0.64,0.49,0.52,0.95,0.72,0.86,0.64,0.89,0.57,0.52,0.76,0.65,0.07,0.64,0.86,0.72,0.25,0.96,0.19
50,0.75,0.46,0.93,0.93,0.00,0.82,0.49,0.53,0.94,0.75,0.84,0.69,0.87,0.72,0.48,0.85,0.62,0.07,0.69,0.83,0.77,0.24,0.97,0.20
51,0.75,0.54,0.96,0.92,0.00,0.84,0.48,0.54,0.95,0.77,0.87,0.65,0.92,0.73,0.48,0.89,0.62,0.06,0.72,0.87,0.80,0.25,0.97,0.25
52,0.80,0.49,0.96,0.93,0.00,0.81,0.49,0.53,0.95,0.77,0.88,0.64,0.93,0.76,0.48,0.87,0.64,0.06,0.74,0.90,0.81,0.24,0.98,0.19
53,0.80,0.48,0.96,0.91,0.00,0.76,0.50,0.52,0.94,0.78,0.86,0.69,0.88,0.77,0.47,0.89,0.61,0.07,0.72,0.85,0.79,0.24,0.97,0.21
54,0.78,0.46,0.96,0.92,0.00,0.81,0.50,0.52,0.94,0.78,0.86,0.72,0.89,0.76,0.48,0.85,0.63,0.07,0.71,0.86,0.80,0.25,0.97,0.26
55,0.78,0.40,0.92,0.94,0.00,0.77,0.49,0.52,0.94,0.76,0.87,0.70,0.89,0.66,0.50,0.76,0.66,0.07,0.68,0.83,0.74,0.24,0.97,0.25
56,0.75,0.39,0.92,0.92,0.00,0.66,0.49,0.53,0.94,0.75,0.87,0.66,0.89,0.66,0.50,0.78,0.66,0.07,0.65,0.83,0.74,0.25,0.97,0.26
57,0.63,0.35,0.81,0.92,0.00,0.67,0.46,0.53,0.94,0.71,0.85,0.62,0.88,0.43,0.55,0.59,0.72,0.07,0.55,0.79,0.61,0.24,0.95,0.26
58,0.66,0.36,0.81,0.93,0.00,0.68,0.46,0.54,0.94,0.71,0.86,0.63,0.89,0.45,0.54,0.59,0.72,0.07,0.56,0.79,0.62,0.25,0.95,0.26
59,0.65,0.38,0.81,0.93,0.00,0.72,0.48,0.53,0.94,0.71,0.87,0.64,0.90,0.45,0.54,0.61,0.72,0.08,0.56,0.80,0.63,0.25,0.95,0.24
60,0.71,0.43,0.86,0.93,0.00,0.73,0.46,0.52,0.94,0.73,0.88,0.66,0.91,0.55,0.52,0.71,0.69,0.07,0.61,0.85,0.70,0.24,0.96,0.25
61,0.77,0.42,0.91,0.94,0.00,0.76,0.49,0.52,0.94,0.76,0.87,0.68,0.91,0.69,0.49,0.85,0.64,0.08,0.67,0.85,0.77,0.25,0.97,0.23
62,0.77,0.40,0.91,0.93,0.00,0.67,0.52,0.52,0.96,0.76,0.89,0.68,0.92,0.70,0.49,0.81,0.67,0.08,0.63,0.87,0.76,0.24,0.97,0.24
63,0.78,0.40,0.91,0.93,0.00,0.67,0.49,0.53,0.95,0.76,0.87,0.68,0.90,0.69,0.49,0.81,0.65,0.08,0.66,0.86,0.77,0.25,0.97,0.26
64,0.77,0.38,0.91,0.93,0.00,0.75,0.48,0.53,0.95,0.75,0.88,0.67,0.91,0.69,0.48,0.83,0.65,0.08,0.69,0.86,0.78,0.24,0.97,0.28
65,0.74,0.42,0.92,0.91,0.00,0.78,0.49,0.54,0.94,0.75,0.88,0.69,0.91,0.69,0.49,0.81,0.65,0.08,0.69,0.86,0.76,0.24,0.97,0.21
66,0.77,0.42,0.92,0.90,0.00,0.69,0.51,0.54,0.94,0.75,0.89,0.67,0.92,0.70,0.49,0.80,0.67,0.08,0.61,0.85,0.74,0.25,0.97,0.25
67,0.63,0.35,0.80,0.93,0.00,0.78,0.52,0.54,0.94,0.70,0.87,0.64,0.89,0.45,0.53,0.60,0.72,0.07,0.36,0.80,0.61,0.24,0.95,0.23
68,0.63,0.34,0.80,0.94,0.00,0.68,0.51,0.55,0.94,0.70,0.87,0.62,0.90,0.45,0.54,0.61,0.72,0.07,0.38,0.79,0.62,0.25,0.95,0.20
69,0.64,0.34,0.80,0.93,0.00,0.66,0.54,0.54,0.94,0.70,0.88,0.62,0.91,0.46,0.54,0.63,0.71,0.07,0.37,0.78,0.62,0.25,0.95,0.21
70,0.76,0.43,0.89,0.91,0.00,0.77,0.51,0.52,0.95,0.74,0.90,0.66,0.94,0.65,0.51,0.78,0.69,0.07,0.58,0.88,0.75,0.25,0.97,0.23
71,0.58,0.32,0.47,0.91,0.52,0.57,0.49,0.54,0.92,0.66,0.88,0.89,0.81,0.22,0.55,0.39,0.82,0.17,0.39,0.78,0.48,0.25,0.93,0.13
72,0.58,0.33,0.51,0.92,0.48,0.26,0.49,0.54,0.92,0.65,0.89,0.89,0.82,0.20,0.56,0.39,0.82,0.19,0.48,0.78,0.52,0.24,0.94,0.22
73,0.60,0.40,0.67,0.92,0.21,0.67,0.49,0.56,0.92,0.70,0.89,0.89,0.84,0.31,0.56,0.46,0.79,0.25,0.49,0.81,0.57,0.24,0.95,0.23
74,0.46,0.50,0.44,0.92,0.26,0.22,0.49,0.44,0.91,0.68,0.86,0.89,0.80,0.26,0.53,0.43,0.78,0.27,0.33,0.81,0.25,0.25,0.91,0.23
75,0.53,0.36,0.59,0.91,0.27,0.28,0.50,0.55,0.93,0.68,0.90,0.89,0.84,0.23,0.57,0.43,0.82,0.22,0.39,0.80,0.51,0.25,0.93,0.12
76,0.62,0.34,0.66,0.92,0.24,0.78,0.50,0.52,0.92,0.72,0.80,0.89,0.76,0.23,0.56,0.48,0.78,0.13,0.53,0.82,0.59,0.25,0.94,0.26
77,0.67,0.41,0.80,0.93,0.00,0.77,0.45,0.54,0.94,0.71,0.88,0.67,0.90,0.49,0.55,0.52,0.78,0.08,0.55,0.83,0.62,0.24,0.94,0.23
78,0.75,0.44,0.92,0.91,0.00,0.70,0.47,0.55,0.94,0.76,0.88,0.67,0.93,0.69,0.51,0.81,0.66,0.07,0.67,0.88,0.77,0.25,0.97,0.28
79,0.69,0.41,0.86,0.91,0.03,0.81,0.49,0.54,0.94,0.75,0.90,0.72,0.91,0.56,0.54,0.71,0.70,0.07,0.61,0.85,0.71,0.25,0.96,0.26
80,0.72,0.40,0.86,0.92,0.00,0.79,0.49,0.54,0.95,0.73,0.90,0.65,0.93,0.56,0.53,0.71,0.70,0.07,0.63,0.86,0.69,0.25,0.95,0.24
81,0.79,0.41,0.92,0.94,0.00,0.74,0.50,0.53,0.95,0.75,0.90,0.67,0.93,0.69,0.50,0.80,0.68,0.07,0.66,0.88,0.79,0.25,0.97,0.25
82,0.74,0.40,0.92,0.93,0.00,0.79,0.45,0.52,0.94,0.75,0.88,0.64,0.91,0.69,0.49,0.79,0.65,0.07,0.65,0.88,0.75,0.24,0.97,0.24
83,0.76,0.39,0.91,0.91,0.00,0.80,0.41,0.53,0.93,0.75,0.86,0.64,0.89,0.69,0.49,0.77,0.64,0.07,0.65,0.88,0.75,0.25,0.96,0.24
84,0.74,0.39,0.88,0.91,0.00,0.83,0.42,0.53,0.94,0.75,0.81,0.65,0.85,0.62,0.49,0.65,0.68,0.06,0.61,0.86,0.73,0.25,0.96,0.25
85,0.73,0.38,0.88,0.91,0.00,0.77,0.44,0.54,0.94,0.74,0.81,0.66,0.84,0.62,0.50,0.62,0.70,0.05,0.63,0.86,0.74,0.25,0.96,0.26
86,0.75,0.36,0.87,0.92,0.00,0.79,0.44,0.54,0.93,0.74,0.81,0.66,0.83,0.59,0.50,0.60,0.70,0.05,0.62,0.85,0.73,0.25,0.96,0.24
87,0.75,0.38,0.88,0.92,0.00,0.73,0.45,0.53,0.94,0.75,0.79,0.66,0.83,0.62,0.50,0.65,0.67,0.05,0.64,0.85,0.76,0.24,0.96,0.25
88,0.70,0.34,0.75,0.94,0.19,0.70,0.44,0.54,0.94,0.69,0.80,0.85,0.75,0.42,0.54,0.47,0.77,0.06,0.57,0.82,0.67,0.25,0.95,0.27
89,0.70,0.38,0.87,0.93,0.00,0.73,0.46,0.52,0.95,0.75,0.82,0.65,0.86,0.64,0.50,0.66,0.68,0.07,0.66,0.85,0.75,0.24,0.96,0.22
90,0.28,0.81,0.14,0.93,0.80,0.00,0.04,0.66,0.67,0.62,0.38,0.85,0.29,0.31,0.25,0.20,0.45,0.66,0.23,0.76,0.10,0.24,0.91,0.21
91,0.64,0.27,0.59,0.93,0.43,0.47,0.32,0.54,0.93,0.70,0.79,0.85,0.74,0.51,0.52,0.29,0.85,0.09,0.52,0.73,0.60,0.24,0.94,0.27
92,0.68,0.29,0.77,0.94,0.00,0.70,0.46,0.51,0.94,0.69,0.80,0.62,0.82,0.43,0.54,0.44,0.77,0.07,0.55,0.77,0.61,0.25,0.94,0.35
93,0.69,0.32,0.81,0.95,0.00,0.72,0.47,0.51,0.94,0.71,0.81,0.62,0.83,0.50,0.52,0.54,0.72,0.06,0.59,0.78,0.66,0.25,0.95,0.34
94,0.70,0.36,0.84,0.94,0.00,0.77,0.46,0.52,0.94,0.72,0.80,0.64,0.83,0.57,0.50,0.60,0.71,0.06,0.62,0.79,0.71,0.25,0.95,0.28
95,0.72,0.38,0.84,0.92,0.00,0.76,0.44,0.49,0.94,0.73,0.79,0.64,0.82,0.57,0.50,0.58,0.71,0.06,0.64,0.80,0.69,0.25,0.95,0.24
96,0.76,0.39,0.91,0.92,0.00,0.83,0.48,0.51,0.94,0.76,0.84,0.67,0.87,0.67,0.48,0.69,0.67,0.05,0.70,0.84,0.78,0.25,0.97,0.24
97,0.63,0.29,0.74,0.94,0.11,0.72,0.46,0.50,0.92,0.70,0.84,0.58,0.87,0.33,0.55,0.39,0.82,0.06,0.54,0.78,0.60,0.25,0.94,0.31
98,0.69,0.35,0.84,0.94,0.00,0.67,0.45,0.52,0.92,0.73,0.83,0.63,0.86,0.60,0.49,0.55,0.72,0.06,0.61,0.82,0.69,0.25,0.95,0.27
99,0.70,0.36,0.87,0.94,0.00,0.73,0.45,0.52,0.93,0.75,0.82,0.65,0.85,0.67,0.48,0.61,0.70,0.07,0.64,0.85,0.73,0.25,0.96,0.29
