Ponto,Água,,Combustíveis,,,,,,,Ar,,,,,,,,,Fornalha,Gases de combustão,Vapor,,,Digestor
,,,Licor negro,,Óleo (BTE),Metanol,,CNCG,,Ar primário,,Ar secundário,,Ar secundário alto,,Ar terciário,,O2,,,,,,
Descrição,Vazão de água de alimentação,Temperatura da água na entrada do balão,Carga de licor na caldeira,Temperatura do licor que entra na fornalha,Fluxo de queima de óleo total,Fluxo total de MeOH para os queimadores,Temperatura de entrada do MeOH nos queimadores,Fluxo de CNCG total para ar secundário alto,Temperatura média do CNCG para ar secundário alto,Vazão de ar pirmário,Temperatura do ar primário,Vazão de ar secundário,Temperatura do ar secundário,Vazão do ar secundário alto,Temperatura do ar secundário alto,Vazão do ar terciário,Temperatura do ar terciário,Oxigênio residual,Temperatura média no piso da fornalha,Temperatura do gás de combustão na saída do ECO 1,Fluxo de vapor gerado ,Temperatura do vapor após superaquecedores,Pressão do vapor que vai para a turbina ,Kappa
Unidade,m³/h,°C,tss/d,°C,t/h,Kg/h,°C,Kg/h,°C,Nm³/min,°C,Nm³/min,°C,Nm³/min,°C,Nm³/min,°C,%,°C,°C,t/h,°C,Kgf/cm²,
TAG,771F0083.PV,771T0097.PV,771F5394.M3.PV,771T0667.PV,771F0758.PV + 771F1094.PV,778F0093.PV + 771F0826.PV,774T0285.PV,778F0017.PV+778F0026.PV,778T0041.PV,771F0469.PV,771T0475.PV,771F0487.PV,771T0486.PV,771F5268.PV,771T0499.PV,771F0519.PV,771T0518.PV,771A0616.PV,Média (771T0129.PV. 771T0133.PV. 771T0137.PV. 771T0139PV),771T0610.PV,771F5033.PV,771T0306.PV,771P0304.PV,
1,0.71,0.54,0.88,0.95,0.00,0.76,0.45,0.55,0.93,0.75,0.90,0.69,0.92,0.61,0.49,0.65,0.71,0.08,0.56,0.84,0.69,0.32,0.96,0.27
2,0.71,0.52,0.88,0.95,0.00,0.76,0.45,0.55,0.93,0.75,0.90,0.69,0.91,0.63,0.49,0.65,0.71,0.08,0.56,0.84,0.69,0.33,0.96,0.27
3,0.71,0.53,0.88,0.94,0.00,0.76,0.44,0.55,0.93,0.75,0.90,0.69,0.91,0.62,0.49,0.64,0.70,0.08,0.56,0.84,0.69,0.31,0.95,0.26
4,0.71,0.52,0.89,0.94,0.00,0.76,0.44,0.55,0.93,0.75,0.90,0.69,0.91,0.62,0.49,0.63,0.70,0.08,0.56,0.84,0.68,0.32,0.95,0.27
5,0.71,0.49,0.88,0.94,0.00,0.76,0.43,0.55,0.93,0.75,0.90,0.69,0.91,0.62,0.49,0.63,0.70,0.08,0.56,0.83,0.68,0.33,0.95,0.28
6,0.71,0.56,0.88,0.94,0.00,0.76,0.43,0.55,0.93,0.75,0.89,0.69,0.91,0.61,0.49,0.64,0.70,0.08,0.56,0.83,0.68,0.33,0.96,0.27
7,0.71,0.52,0.89,0.94,0.00,0.76,0.43,0.55,0.93,0.75,0.89,0.69,0.91,0.62,0.49,0.64,0.70,0.08,0.56,0.83,0.69,0.31,0.96,0.26
8,0.71,0.53,0.89,0.94,0.00,0.76,0.43,0.55,0.93,0.75,0.89,0.69,0.91,0.62,0.49,0.64,0.70,0.08,0.56,0.83,0.69,0.31,0.96,0.26
9,0.71,0.53,0.88,0.94,0.00,0.76,0.43,0.53,0.93,0.75,0.89,0.69,0.91,0.63,0.49,0.65,0.70,0.08,0.56,0.83,0.69,0.30,0.95,0.26
10,0.71,0.48,0.89,0.94,0.00,0.76,0.43,0.54,0.93,0.75,0.89,0.69,0.91,0.62,0.49,0.65,0.70,0.08,0.56,0.83,0.68,0.30,0.96,0.25
11,0.71,0.43,0.88,0.94,0.00,0.76,0.43,0.54,0.93,0.75,0.89,0.69,0.91,0.63,0.49,0.65,0.70,0.08,0.56,0.83,0.68,0.29,0.95,0.24
12,0.71,0.47,0.88,0.94,0.00,0.76,0.44,0.54,0.93,0.75,0.89,0.69,0.91,0.63,0.49,0.66,0.70,0.08,0.56,0.83,0.68,0.31,0.96,0.23
13,0.71,0.55,0.88,0.94,0.00,0.76,0.44,0.54,0.93,0.75,0.89,0.69,0.91,0.63,0.49,0.65,0.70,0.08,0.56,0.83,0.70,0.33,0.96,0.26
14,0.71,0.52,0.88,0.94,0.00,0.76,0.44,0.54,0.93,0.75,0.89,0.69,0.91,0.62,0.49,0.65,0.70,0.08,0.56,0.83,0.68,0.29,0.95,0.25
15,0.71,0.51,0.88,0.94,0.00,0.76,0.44,0.54,0.93,0.75,0.89,0.69,0.91,0.62,0.49,0.64,0.70,0.08,0.56,0.84,0.68,0.31,0.95,0.24
16,0.71,0.42,0.88,0.94,0.00,0.76,0.44,0.54,0.93,0.75,0.89,0.69,0.91,0.61,0.49,0.64,0.70,0.08,0.56,0.84,0.67,0.31,0.95,0.24
17,0.71,0.53,0.88,0.94,0.00,0.76,0.44,0.54,0.94,0.75,0.89,0.69,0.92,0.62,0.49,0.64,0.70,0.08,0.56,0.84,0.68,0.31,0.95,0.23
18,0.71,0.47,0.89,0.94,0.00,0.76,0.45,0.54,0.94,0.75,0.89,0.69,0.92,0.63,0.50,0.64,0.71,0.08,0.56,0.84,0.68,0.30,0.95,0.23
19,0.72,0.47,0.88,0.94,0.00,0.76,0.45,0.54,0.94,0.75,0.89,0.69,0.92,0.62,0.50,0.64,0.71,0.08,0.56,0.84,0.69,0.31,0.95,0.22
20,0.72,0.51,0.89,0.94,0.00,0.76,0.45,0.54,0.94,0.75,0.90,0.69,0.92,0.62,0.50,0.63,0.71,0.08,0.56,0.84,0.68,0.33,0.96,0.21
21,0.72,0.46,0.89,0.94,0.00,0.75,0.45,0.53,0.94,0.75,0.90,0.69,0.92,0.63,0.50,0.64,0.71,0.09,0.56,0.84,0.67,0.32,0.95,0.22
22,0.65,0.57,0.89,0.93,0.00,0.76,0.47,0.53,0.94,0.76,0.89,0.69,0.92,0.63,0.50,0.66,0.71,0.08,0.61,0.84,0.70,0.31,0.96,0.21
23,0.65,0.60,0.88,0.93,0.00,0.76,0.47,0.52,0.94,0.75,0.89,0.69,0.92,0.63,0.50,0.65,0.71,0.08,0.61,0.84,0.70,0.33,0.96,0.21
24,0.65,0.61,0.88,0.93,0.00,0.76,0.47,0.52,0.94,0.75,0.89,0.69,0.92,0.63,0.51,0.66,0.71,0.08,0.61,0.84,0.70,0.32,0.96,0.21
25,0.65,0.56,0.89,0.94,0.00,0.76,0.48,0.53,0.94,0.75,0.89,0.68,0.92,0.63,0.51,0.66,0.71,0.08,0.61,0.84,0.70,0.34,0.96,0.21
26,0.65,0.55,0.88,0.94,0.00,0.76,0.48,0.53,0.94,0.75,0.89,0.68,0.92,0.63,0.51,0.66,0.70,0.08,0.61,0.84,0.69,0.28,0.96,0.21
27,0.65,0.53,0.88,0.94,0.00,0.76,0.48,0.53,0.94,0.75,0.89,0.68,0.92,0.62,0.51,0.67,0.70,0.08,0.61,0.84,0.70,0.29,0.96,0.20
28,0.66,0.53,0.89,0.94,0.00,0.77,0.48,0.52,0.94,0.75,0.89,0.68,0.92,0.62,0.51,0.67,0.70,0.08,0.61,0.84,0.70,0.28,0.96,0.21
29,0.66,0.47,0.88,0.94,0.00,0.77,0.48,0.52,0.94,0.75,0.90,0.67,0.92,0.61,0.51,0.67,0.72,0.08,0.61,0.84,0.70,0.31,0.96,0.21
30,0.66,0.53,0.86,0.94,0.00,0.77,0.48,0.51,0.94,0.74,0.90,0.66,0.92,0.56,0.52,0.62,0.73,0.08,0.61,0.84,0.69,0.30,0.95,0.21
31,0.66,0.46,0.85,0.94,0.00,0.77,0.48,0.51,0.94,0.74,0.90,0.66,0.92,0.55,0.52,0.62,0.73,0.08,0.60,0.84,0.67,0.31,0.95,0.21
32,0.67,0.49,0.86,0.95,0.00,0.77,0.48,0.51,0.94,0.74,0.90,0.66,0.92,0.55,0.52,0.63,0.73,0.08,0.60,0.84,0.67,0.31,0.95,0.22
33,0.67,0.46,0.86,0.95,0.00,0.77,0.48,0.51,0.94,0.74,0.90,0.66,0.93,0.55,0.52,0.62,0.73,0.08,0.60,0.84,0.66,0.32,0.95,0.22
34,0.67,0.46,0.86,0.95,0.00,0.77,0.48,0.52,0.94,0.74,0.90,0.66,0.93,0.55,0.52,0.63,0.73,0.08,0.60,0.84,0.67,0.31,0.95,0.23
35,0.67,0.46,0.86,0.95,0.00,0.77,0.48,0.52,0.94,0.74,0.90,0.66,0.93,0.54,0.52,0.64,0.73,0.08,0.60,0.84,0.68,0.32,0.95,0.24
36,0.67,0.50,0.85,0.95,0.00,0.77,0.48,0.52,0.94,0.74,0.91,0.66,0.93,0.55,0.52,0.63,0.72,0.08,0.60,0.84,0.69,0.31,0.96,0.24
37,0.68,0.46,0.85,0.95,0.00,0.77,0.48,0.52,0.94,0.74,0.91,0.67,0.93,0.55,0.52,0.64,0.72,0.08,0.59,0.84,0.67,0.32,0.95,0.24
38,0.68,0.45,0.85,0.95,0.00,0.77,0.48,0.52,0.94,0.74,0.91,0.66,0.93,0.56,0.53,0.64,0.72,0.08,0.59,0.84,0.66,0.29,0.95,0.24
39,0.68,0.50,0.85,0.95,0.00,0.77,0.48,0.52,0.94,0.74,0.91,0.67,0.94,0.55,0.53,0.65,0.72,0.08,0.59,0.84,0.67,0.30,0.95,0.23
40,0.68,0.45,0.85,0.95,0.00,0.77,0.48,0.52,0.94,0.74,0.91,0.66,0.94,0.56,0.53,0.65,0.72,0.08,0.59,0.84,0.66,0.31,0.95,0.22
41,0.68,0.44,0.86,0.94,0.00,0.77,0.48,0.53,0.94,0.74,0.91,0.66,0.94,0.55,0.53,0.65,0.72,0.08,0.59,0.84,0.67,0.30,0.96,0.21
42,0.68,0.50,0.85,0.94,0.00,0.77,0.48,0.53,0.94,0.74,0.91,0.67,0.94,0.55,0.53,0.65,0.72,0.08,0.59,0.83,0.69,0.30,0.96,0.22
43,0.68,0.51,0.86,0.94,0.00,0.77,0.48,0.53,0.94,0.74,0.91,0.66,0.94,0.55,0.53,0.65,0.72,0.08,0.59,0.83,0.66,0.30,0.95,0.22
44,0.68,0.46,0.86,0.94,0.00,0.77,0.48,0.53,0.94,0.74,0.90,0.66,0.94,0.56,0.52,0.65,0.72,0.08,0.59,0.83,0.66,0.32,0.95,0.23
45,0.68,0.45,0.86,0.94,0.00,0.76,0.47,0.53,0.95,0.74,0.90,0.67,0.94,0.55,0.52,0.65,0.72,0.08,0.59,0.83,0.68,0.30,0.95,0.22
46,0.68,0.53,0.86,0.94,0.00,0.76,0.47,0.53,0.95,0.74,0.90,0.66,0.94,0.56,0.52,0.64,0.72,0.08,0.59,0.83,0.68,0.32,0.95,0.22
47,0.68,0.50,0.86,0.94,0.00,0.76,0.47,0.53,0.94,0.74,0.90,0.67,0.94,0.56,0.52,0.64,0.72,0.08,0.59,0.83,0.66,0.34,0.96,0.20
48,0.68,0.43,0.86,0.94,0.00,0.76,0.47,0.53,0.94,0.74,0.90,0.66,0.94,0.55,0.52,0.64,0.72,0.09,0.59,0.83,0.67,0.29,0.95,0.20
49,0.68,0.41,0.85,0.94,0.00,0.76,0.47,0.54,0.94,0.74,0.90,0.66,0.94,0.56,0.52,0.62,0.72,0.09,0.59,0.83,0.67,0.27,0.95,0.20
50,0.69,0.44,0.86,0.94,0.00,0.76,0.47,0.54,0.94,0.74,0.90,0.66,0.94,0.57,0.52,0.62,0.72,0.09,0.59,0.84,0.67,0.32,0.95,0.21
51,0.69,0.40,0.86,0.94,0.00,0.76,0.47,0.54,0.94,0.74,0.90,0.66,0.94,0.57,0.52,0.62,0.72,0.09,0.59,0.84,0.68,0.30,0.95,0.21
52,0.68,0.43,0.85,0.94,0.00,0.76,0.47,0.54,0.94,0.74,0.90,0.66,0.94,0.56,0.51,0.61,0.72,0.09,0.59,0.84,0.66,0.30,0.95,0.21
53,0.68,0.41,0.85,0.93,0.00,0.76,0.46,0.54,0.94,0.74,0.90,0.66,0.94,0.56,0.52,0.61,0.72,0.09,0.59,0.84,0.68,0.33,0.95,0.21
54,0.68,0.43,0.86,0.93,0.00,0.76,0.46,0.53,0.94,0.74,0.90,0.66,0.94,0.56,0.52,0.62,0.72,0.09,0.58,0.84,0.67,0.31,0.96,0.22
55,0.68,0.51,0.86,0.93,0.00,0.76,0.46,0.53,0.94,0.74,0.90,0.66,0.94,0.55,0.53,0.62,0.72,0.09,0.58,0.84,0.68,0.30,0.95,0.20
56,0.68,0.44,0.86,0.93,0.00,0.76,0.46,0.53,0.94,0.74,0.90,0.66,0.94,0.55,0.53,0.62,0.72,0.09,0.58,0.84,0.66,0.29,0.95,0.20
57,0.68,0.43,0.85,0.93,0.00,0.72,0.46,0.53,0.94,0.74,0.89,0.66,0.93,0.56,0.53,0.63,0.72,0.09,0.58,0.84,0.68,0.30,0.95,0.24
58,0.67,0.47,0.85,0.93,0.00,0.71,0.46,0.53,0.94,0.74,0.89,0.66,0.93,0.55,0.52,0.64,0.72,0.09,0.58,0.84,0.67,0.33,0.95,0.22
59,0.67,0.43,0.85,0.93,0.00,0.70,0.46,0.53,0.94,0.75,0.89,0.64,0.93,0.55,0.52,0.64,0.72,0.09,0.58,0.83,0.66,0.30,0.96,0.21
60,0.67,0.46,0.86,0.93,0.00,0.70,0.46,0.53,0.94,0.75,0.89,0.64,0.93,0.56,0.52,0.62,0.73,0.09,0.58,0.83,0.66,0.33,0.95,0.21
61,0.67,0.43,0.85,0.93,0.00,0.70,0.46,0.53,0.94,0.75,0.89,0.64,0.93,0.57,0.52,0.61,0.73,0.09,0.58,0.82,0.65,0.31,0.95,0.21
62,0.67,0.45,0.86,0.92,0.00,0.70,0.46,0.53,0.94,0.75,0.89,0.64,0.93,0.55,0.52,0.62,0.73,0.09,0.58,0.82,0.66,0.31,0.95,0.22
63,0.67,0.52,0.86,0.92,0.00,0.70,0.46,0.53,0.94,0.75,0.89,0.65,0.93,0.55,0.52,0.63,0.73,0.09,0.58,0.82,0.66,0.34,0.96,0.22
64,0.67,0.50,0.86,0.92,0.00,0.70,0.47,0.53,0.94,0.75,0.89,0.65,0.93,0.56,0.53,0.62,0.73,0.09,0.58,0.82,0.64,0.32,0.95,0.23
65,0.67,0.53,0.86,0.92,0.00,0.70,0.47,0.53,0.94,0.75,0.89,0.64,0.93,0.56,0.53,0.62,0.74,0.09,0.58,0.82,0.66,0.31,0.95,0.23
66,0.66,0.53,0.86,0.93,0.00,0.70,0.47,0.53,0.94,0.75,0.90,0.64,0.93,0.55,0.52,0.62,0.74,0.08,0.58,0.83,0.66,0.31,0.95,0.25
67,0.66,0.50,0.86,0.93,0.00,0.70,0.47,0.53,0.94,0.75,0.90,0.64,0.93,0.56,0.52,0.61,0.74,0.08,0.58,0.83,0.66,0.30,0.95,0.24
68,0.66,0.45,0.86,0.93,0.00,0.68,0.48,0.53,0.94,0.75,0.90,0.64,0.93,0.56,0.52,0.59,0.74,0.08,0.57,0.83,0.67,0.31,0.95,0.25
69,0.66,0.47,0.86,0.93,0.00,0.67,0.48,0.53,0.94,0.75,0.90,0.64,0.93,0.56,0.52,0.58,0.75,0.08,0.57,0.83,0.64,0.31,0.95,0.26
70,0.66,0.49,0.85,0.93,0.00,0.67,0.48,0.52,0.94,0.75,0.90,0.64,0.93,0.55,0.52,0.58,0.75,0.08,0.57,0.83,0.66,0.32,0.95,0.24
71,0.65,0.47,0.86,0.93,0.00,0.67,0.48,0.52,0.94,0.75,0.90,0.63,0.93,0.55,0.52,0.58,0.75,0.08,0.56,0.83,0.65,0.33,0.95,0.24
72,0.65,0.47,0.86,0.93,0.00,0.67,0.49,0.52,0.94,0.75,0.90,0.64,0.93,0.55,0.52,0.59,0.75,0.08,0.56,0.83,0.66,0.33,0.95,0.23
73,0.65,0.44,0.86,0.93,0.00,0.67,0.49,0.51,0.94,0.75,0.90,0.64,0.93,0.55,0.52,0.58,0.75,0.08,0.56,0.83,0.64,0.30,0.95,0.24
74,0.65,0.45,0.86,0.93,0.00,0.67,0.49,0.51,0.94,0.75,0.90,0.64,0.93,0.55,0.52,0.57,0.75,0.08,0.55,0.83,0.65,0.32,0.95,0.28
75,0.65,0.45,0.86,0.93,0.00,0.67,0.49,0.51,0.94,0.75,0.90,0.64,0.93,0.55,0.52,0.57,0.76,0.08,0.55,0.83,0.64,0.31,0.95,0.26
76,0.64,0.49,0.86,0.93,0.00,0.67,0.49,0.52,0.94,0.75,0.90,0.64,0.93,0.55,0.52,0.57,0.76,0.08,0.54,0.82,0.66,0.30,0.95,0.34
77,0.64,0.50,0.86,0.93,0.00,0.67,0.49,0.52,0.94,0.75,0.90,0.64,0.93,0.55,0.52,0.57,0.76,0.08,0.53,0.82,0.64,0.33,0.95,0.47
78,0.64,0.51,0.86,0.93,0.00,0.67,0.50,0.53,0.94,0.75,0.90,0.64,0.93,0.56,0.52,0.57,0.76,0.08,0.51,0.82,0.65,0.31,0.95,0.49
79,0.64,0.54,0.85,0.93,0.00,0.67,0.50,0.53,0.94,0.75,0.90,0.64,0.94,0.57,0.52,0.58,0.77,0.07,0.49,0.85,0.65,0.29,0.95,0.43
80,0.64,0.54,0.86,0.93,0.00,0.67,0.50,0.53,0.94,0.75,0.90,0.64,0.94,0.57,0.52,0.57,0.77,0.07,0.47,0.83,0.65,0.32,0.95,0.41
81,0.64,0.48,0.86,0.93,0.00,0.67,0.50,0.53,0.94,0.75,0.90,0.64,0.94,0.57,0.52,0.57,0.77,0.07,0.46,0.80,0.63,0.32,0.95,0.38
82,0.64,0.51,0.86,0.93,0.00,0.67,0.50,0.53,0.95,0.75,0.90,0.64,0.94,0.57,0.52,0.56,0.77,0.07,0.45,0.82,0.65,0.31,0.95,0.33
83,0.64,0.62,0.85,0.93,0.00,0.67,0.50,0.53,0.95,0.75,0.90,0.64,0.94,0.55,0.52,0.56,0.77,0.07,0.45,0.85,0.66,0.28,0.95,0.32
84,0.64,0.52,0.85,0.93,0.00,0.67,0.50,0.53,0.95,0.75,0.91,0.64,0.94,0.55,0.52,0.56,0.77,0.07,0.44,0.85,0.66,0.30,0.95,0.32
85,0.64,0.49,0.85,0.92,0.00,0.67,0.50,0.53,0.95,0.75,0.91,0.64,0.94,0.55,0.53,0.55,0.77,0.07,0.44,0.83,0.64,0.30,0.95,0.30
86,0.64,0.49,0.85,0.92,0.00,0.67,0.50,0.53,0.95,0.75,0.91,0.64,0.94,0.55,0.53,0.55,0.77,0.07,0.43,0.82,0.64,0.31,0.95,0.28
87,0.60,0.36,0.59,0.91,0.60,0.17,0.49,0.52,0.92,0.73,0.87,0.81,0.85,0.40,0.54,0.36,0.82,0.22,0.50,0.83,0.61,0.31,0.95,0.11
88,0.60,0.36,0.59,0.92,0.60,0.17,0.50,0.53,0.92,0.73,0.89,0.81,0.86,0.41,0.54,0.36,0.83,0.22,0.52,0.83,0.61,0.31,0.95,0.11
89,0.60,0.36,0.59,0.92,0.58,0.17,0.50,0.53,0.92,0.73,0.90,0.81,0.88,0.40,0.54,0.36,0.83,0.21,0.49,0.83,0.60,0.32,0.95,0.12
90,0.60,0.36,0.59,0.92,0.58,0.17,0.50,0.53,0.92,0.73,0.90,0.81,0.88,0.40,0.54,0.36,0.83,0.21,0.44,0.83,0.60,0.31,0.95,0.13
91,0.60,0.34,0.59,0.92,0.58,0.18,0.50,0.53,0.93,0.73,0.90,0.81,0.88,0.42,0.54,0.36,0.84,0.21,0.40,0.83,0.60,0.32,0.95,0.14
92,0.60,0.35,0.59,0.92,0.56,0.18,0.50,0.53,0.93,0.73,0.91,0.81,0.89,0.40,0.55,0.36,0.84,0.20,0.35,0.83,0.58,0.32,0.94,0.14
93,0.59,0.35,0.59,0.92,0.55,0.35,0.50,0.53,0.93,0.73,0.91,0.81,0.89,0.40,0.55,0.36,0.85,0.20,0.34,0.83,0.58,0.31,0.94,0.15
94,0.59,0.36,0.59,0.92,0.55,0.60,0.51,0.53,0.93,0.73,0.91,0.81,0.89,0.39,0.55,0.36,0.85,0.20,0.33,0.83,0.59,0.32,0.95,0.16
95,0.59,0.37,0.59,0.93,0.54,0.60,0.51,0.53,0.93,0.73,0.91,0.81,0.89,0.41,0.55,0.36,0.85,0.19,0.32,0.83,0.61,0.32,0.94,0.23
96,0.59,0.36,0.59,0.93,0.52,0.66,0.51,0.53,0.94,0.73,0.91,0.81,0.89,0.43,0.56,0.36,0.86,0.19,0.31,0.82,0.62,0.30,0.95,0.23
97,0.59,0.36,0.59,0.93,0.53,0.66,0.51,0.53,0.94,0.73,0.92,0.81,0.90,0.41,0.56,0.36,0.86,0.19,0.30,0.82,0.60,0.30,0.95,0.23
98,0.59,0.36,0.59,0.93,0.52,0.66,0.51,0.53,0.94,0.73,0.92,0.81,0.90,0.42,0.56,0.36,0.87,0.20,0.29,0.81,0.60,0.32,0.95,0.26
99,0.68,0.42,0.78,0.91,0.10,0.54,0.48,0.56,0.92,0.73,0.91,0.65,0.93,0.54,0.52,0.53,0.77,0.08,0.59,0.84,0.67,0.33,0.96,0.27
